total_population,median_home_value,median_gross_rent,state,zip_code
1913,231300,79107,33,03047
3515,220100,79600,33,03048
7918,474900,135565,33,03049
25408,291500,104472,33,03051
8514,320800,112500,33,03052
25732,322000,109254,33,03053
25945,282600,106957,33,03054
15632,251400,79235,33,03055
2607,336800,118750,33,03057
30155,234400,51979,33,03060
27793,282200,94935,33,03062
16426,272400,88188,33,03063
14441,277600,68333,33,03064
5685,315300,120300,33,03070
5337,224800,81029,33,03071
13798,349000,106686,33,03076
10376,229300,76133,33,03077
29234,325600,86587,33,03079
1660,262200,92986,33,03082
1264,270600,84583,33,03084
3816,252600,80226,33,03086
14610,450300,148459,33,03087
2953,236800,32607,33,03101
33003,217300,57461,33,03102
36938,212400,58115,33,03103
33071,257600,64909,33,03104
14273,253800,84691,33,03106
10600,230600,80253,33,03109
22535,407300,135021,33,03110
186,342600,105000,33,03215
2477,225000,76618,33,03216
2017,175700,46184,33,03217
963,219600,59417,33,03218
7563,192000,71541,33,03220
2095,229300,66528,33,03221
5896,195100,64167,33,03222
3373,169200,60625,33,03223
2339,267100,85625,33,03224
3673,190600,75536,33,03225
1056,336500,76528,33,03226
1040,296600,82875,33,03227
5691,272400,88854,33,03229
1222,170000,63083,33,03230
305,303500,81667,33,03231
127,362000,-666666666,33,03233
4722,234000,78622,33,03234
8762,165200,52860,33,03235
2372,242800,76450,33,03237
109,65400,-666666666,33,03238
1362,168800,61429,33,03240
756,293600,66250,33,03241
4962,241000,79867,33,03242
920,184000,80292,33,03243
7652,195200,80174,33,03244
2054,293800,62589,33,03245
16460,192800,57771,33,03246
7169,256500,84500,33,03249
945,218200,52857,33,03251
6347,286200,63359,33,03253
4116,319600,71429,33,03254
2176,287600,101528,33,03255
2272,236200,68438,33,03256
4495,373200,91471,33,03257
2667,255000,95114,33,03258
393,296600,56944,33,03259
757,272600,101875,33,03260
4335,255600,90605,33,03261
826,210500,57463,33,03262
4112,196200,55594,33,03263
7290,185000,54856,33,03264
2152,178300,54904,33,03266
1270,218400,83594,33,03268
2908,278300,89097,33,03269
310,192300,108750,33,03273
11577,200100,75420,33,03275
8268,178800,56685,33,03276
2946,257500,75938,33,03278
765,147200,48750,33,03279
1199,212900,78224,33,03280
9031,249600,94181,33,03281
889,196900,67292,33,03282
832,237100,76932,33,03284
2499,224500,67277,33,03285
1550,290200,85000,33,03287
4965,295500,97216,33,03290
109,-666666666,-666666666,33,03291
300,184100,-666666666,33,03293
33162,242400,65663,33,03301
15849,210300,74000,33,03303
7880,318800,122034,33,03304
5534,240500,72311,33,03307
25148,187600,56872,33,03431
3147,204200,76500,33,03440
154,134700,34028,33,03441
1510,165700,60000,33,03442
425,247100,71206,33,03443
1448,280400,83958,33,03444
797,180100,72375,33,03445
5994,183600,71522,33,03446
2364,194500,62500,33,03447
804,191400,70417,33,03448
1751,321300,69297,33,03449
927,251500,76806,33,03450
3911,136400,63669,33,03451
5283,190100,63739,33,03452
2417,203600,71136,33,03455
829,191400,65893,33,03456
826,282400,82500,33,03457
7022,261200,85000,33,03458
6054,245700,81737,33,03461
1326,250600,111750,33,03462
1042,214300,75455,33,03464
2002,148000,58021,33,03465
1856,232700,92472,33,03466
1590,251200,89583,33,03467
5155,158000,54097,33,03470
5920,170300,40259,33,03561
10221,92100,39130,33,03570
2569,167700,55556,33,03574
68,-666666666,-666666666,33,03575
2804,143500,43814,33,03576
307,215300,50250,33,03579
1408,331500,74375,33,03580
3054,153700,59290,33,03581
2530,79800,45492,33,03582
850,198300,55625,33,03583
3673,133300,55167,33,03584
2832,157100,58696,33,03585
